seed,difficulty,score,solvable,path_length,wall_density,largest_component_ratio,dead_end_ratio,openness
5931293,medium,0.7864152272727272,True,57,0.36,1.0,0.0328125,0.7884999999999996
1049490,medium,0.7924104545454546,True,59,0.36,1.0,0.040625,0.784249999999999
6850589,medium,0.7881327272727271,True,57,0.36,1.0,0.03125,0.8076249999999984
531727,medium,0.7752711363636363,True,54,0.36,1.0,0.0359375,0.7902499999999992
2323592,medium,0.7833688636363637,True,56,0.36,1.0,0.0390625,0.8052499999999998
6653271,hard,0.750589330024814,True,54,0.38,1.0,0.03387096774193549,0.7903225806451609
393181,medium,0.7945368181818181,True,60,0.36,1.0,0.046875,0.7747499999999996
6772153,easy,0.8242464646464646,True,56,0.34,1.0,0.03636363636363636,0.7899393939393924
1132615,medium,0.7854152272727272,True,57,0.36,1.0,0.0453125,0.7947499999999987
1132615,hard,0.8058610421836229,True,72,0.38,1.0,0.035483870967741936,0.7929032258064508
5804278,medium,0.798114318181818,True,60,0.36,1.0,0.0328125,0.7983749999999985
6826285,medium,0.8658952272727273,True,79,0.36,1.0,0.0328125,0.7819999999999988
5600589,medium,0.781225,True,55,0.36,1.0,0.028125,0.8075000000000004
6218056,medium,0.7793074999999999,True,55,0.36,1.0,0.0296875,0.7858749999999993
